Date,Bat,Species,Sex,Band,Mass In (g),Mass Out (g),Ta (C),Ta Probe (C),Flow (mL/min),FiO2,FeO2,VO2 (mL/min),VO2 (mL/h),VO2 (mL/h/g)
25-Oct-16,3,MYCA,,WCS1208,5.4,4.6,6,6,50,0.2095,0.2094641,0.00185,0.11119,0.02417
,,,,,,,,,,,,,,
25-Oct-16,4,MYCA,,WCS1031,5.3,5,6,6,50,0.2095,0.2094469,0.00274,0.16447,0.03289
,,,,,,,,,,,,,,
27-Oct-16,4,MYCA,,UR0095,5.3,5.1,6,0,50,0.2095,0.2094567,0.00224,0.13411,0.0263
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,4,4,49.9,0.2095,0.2094329,0.00424,0.25416,0.04984
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,4,4,48.4,0.2095,0.2094649,0.00215,0.12897,0.02687
,,,,,,,,,,,,,,
20-Oct-15,1,MYCA,F,UR0908,5.2,5.1,4,4,50.3,0.2095,0.2094597,0.00257,0.15402,0.0302
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,4,4,50,0.2095,0.2094181,0.00423,0.2536,0.05764
,,,,,,,,,,,,,,
8-Dec-15,1,MYCA,,,5,4.6,4,4,50,0.2095,0.2094414,0.00303,0.18159,0.03948
,,,,,,,,,,,,,,
8-Dec-15,2,MYCA,,UR0450,6,5.8,4,4,50,0.2095,0.2094514,0.00251,0.15043,0.02594
,,,,,,,,,,,,,,
8-Dec-15,3,MYCA,,UR0924,5.9,5.6,4,4,50,0.2095,0.2094567,0.00223,0.13408,0.02394
,,,,,,,,,,,,,,
8-Dec-15,4,MYCA,,UR0946,5.5,5.2,4,4,50,0.2095,0.2094587,0.00213,0.1279,0.0246
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,4,4,50,0.2095,0.2094404,0.00308,0.18459,0.03767
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR1845,5.2,5,4,4,50,0.2095,0.209463,0.00191,0.1146,0.02292
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,4,4,50,0.2095,0.209468,0.00165,0.09911,0.01835
,,,,,,,,,,,,,,
22-Oct-16,2,MYCA,,WCS1011,5.6,5.1,4,4,50,0.2095,0.2094678,0.00166,0.09973,0.01956
,,,,,,,,,,,,,,
22-Oct-16,3,MYCA,,WCS1013,5.8,5.5,4,4,50,0.2095,0.2094633,0.00189,0.11367,0.02067
,,,,,,,,,,,,,,
23-Oct-16,1,MYCA,,WCS1037,4.7,4.5,4,4,50,0.2095,0.2094611,0.00201,0.12049,0.02677
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,4,4,50,0.2095,0.2094598,0.00208,0.12451,0.02349
,,,,,,,,,,,,,,
25-Oct-16,2,MYCA,,WCS1021,5.1,4.6,4,4,50,0.2095,0.2094738,0.00135,0.08115,0.01764
,,,,,,,,,,,,,,
25-Oct-16,3,MYCA,,WCS1208,5.4,4.6,4,4,50,0.2095,0.2094227,0.00399,0.23942,0.05205
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,2,2,50.2,0.2095,0.2094422,0.00367,0.22008,0.04315
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,2,2,48.4,0.2095,0.2094381,0.00379,0.22737,0.04737
,,,,,,,,,,,,,,
20-Oct-15,1,MYCA,F,UR0908,5.2,5.1,2,2,50,0.2095,0.2094646,0.00224,0.13444,0.02636
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,2,2,50,0.2095,0.2092458,0.01312,0.78726,0.17892
,,,,,,,,,,,,,,
8-Dec-15,1,MYCA,,,5,4.6,2,2,50,0.2095,0.2094031,0.005,0.30028,0.06528
,,,,,,,,,,,,,,
8-Dec-15,2,MYCA,,UR0450,6,5.8,2,2,50,0.2095,0.209132,0.01899,1.13967,0.19649
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,2,2,50,0.2095,0.2090068,0.02546,1.52755,0.31174
,,,,,,,,,,,,,,
10-Dec-15,1,MYCA,,,5,4.6,2,2,50,0.2095,0.2083835,0.05764,3.45832,0.75181
,,,,,,,,,,,,,,
10-Dec-15,2,MYCA,,UR0916,5.9,5.6,2,2,50,0.2095,0.2083029,0.0618,3.7079,0.66212
,,,,,,,,,,,,,,
10-Dec-15,3,MYCA,,WCS041,5.4,5,2,2,50,0.2095,0.2091849,0.01627,0.97593,0.19519
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,2,2,50,0.2095,0.2086458,0.0441,2.64574,0.48995
,,,,,,,,,,,,,,
22-Oct-16,2,MYCA,,WCS1011,5.6,5.1,2,2,50,0.2095,0.2091085,0.02021,1.21261,0.23777
,,,,,,,,,,,,,,
23-Oct-16,1,MYCA,,WCS1037,4.7,4.5,2,2,50,0.2095,0.2094686,0.00162,0.09726,0.02161
,,,,,,,,,,,,,,
26-Oct-16,1,MYCA,,UR0443,5.2,4.8,2,2,50,0.2095,0.2094598,0.00208,0.12451,0.02594
,,,,,,,,,,,,,,
26-Oct-16,2,MYCA,,WCS1035,6.1,5.6,2,2,50,0.2095,0.20946,0.00206,0.12389,0.02212
,,,,,,,,,,,,,,
26-Oct-16,3,MYCA,,WCS0900,5.6,5.2,2,2,50,0.2095,0.2094195,0.00416,0.24934,0.04795
,,,,,,,,,,,,,,
27-Oct-16,2,MYCA,,UR0097,5,4.8,2,2,50,0.2095,0.20942,0.00413,0.24779,0.05162
,,,,,,,,,,,,,,
27-Oct-16,3,MYCA,,UR0091,4.9,4.8,2,2,50,0.2095,0.2093998,0.00517,0.31035,0.06466
,,,,,,,,,,,,,,
27-Oct-16,4,MYCA,,UR0095,5.3,5.1,2,2,50,0.2095,0.2094668,0.00171,0.10283,0.02016
,,,,,,,,,,,,,,
19-Oct-15,1,MYCA,M,UR0919,5.4,5.1,0,0,50.2,0.2095,0.2092279,0.01727,1.0364,0.20322
,,,,,,,,,,,,,,
19-Oct-15,2,MYCA,M,UR0937,5.2,4.8,0,0,48.4,0.2095,0.2093986,0.00621,0.37231,0.07757
,,,,,,,,,,,,,,
26-Oct-16,3,MYCA,,WCS0900,5.6,5.2,0,0,50,0.2095,0.2077613,0.08976,5.38533,1.03564
,,,,,,,,,,,,,,
